old_doc,old_section,old_title,new_doc,new_section,note
analysis,§7.7,"Stepwise Selection",PRD_3_Analyze.md,§A7.7,
analysis,§7.8,"LASSO Penalized Regression",PRD_3_Analyze.md,§A7.8,
analysis,§7.9,"R Code Generation",PRD_3_Analyze.md,§A7.9,
analysis,§7.10,"Summary of Dependencies by Model Type",PRD_3_Analyze.md,§A7.10,
analysis,§8,"Preflight Validation Layer",PRD_3_Analyze.md,§A8,
analysis,§8.1,"Architecture",PRD_3_Analyze.md,§A8.1,
analysis,§8.2,"Validation Tiers",PRD_3_Analyze.md,§A8.2,
analysis,§8.3,"When Validation Runs",PRD_3_Analyze.md,§A8.3,
analysis,§8.4,"Step 5 Layout (Authoritative)",PRD_3_Analyze.md,§A8.4,
analysis,§8.5,"Step 3 Tier 1 Validation Display",PRD_3_Analyze.md,§A8.5,
analysis,§8.6,"`reset_analysis_pipeline` Function",PRD_3_Analyze.md,§A8.6,
analysis,§9,"Variable Selection Subsystem",PRD_3_Analyze.md,§A9,
analysis,§9.1–9.4,"Purpose, Inputs, Outputs, Method Specifications",PRD_3_Analyze.md,§A9.1–A9.4,
analysis,§9.5,"Spec Storage",PRD_3_Analyze.md,§A9.5,
analysis,§9.6,"Method Independence",PRD_3_Analyze.md,§A9.6,
analysis,§9.7,"Step 4 Confirmation Table Integration",PRD_3_Analyze.md,§A9.7,
analysis,§9.8,"Add / Replace Behavior",PRD_3_Analyze.md,§A9.8,
analysis,§9.9,"Edge Cases",PRD_3_Analyze.md,§A9.9,
analysis,§9.10,"Results Storage",PRD_3_Analyze.md,§A9.10,
analysis,§10,"Export and Output Specification",PRD_3_Analyze.md,§A10,
analysis,§10.1,"Overview",PRD_3_Analyze.md,§A10.1,
analysis,§10.2,"Export Folder Structure (Authoritative — supersedes §3.8)",PRD_3_Analyze.md,§A10.2,
analysis,§10.3–10.6,"Assembly Pipeline, Tables, Figures, Data",PRD_3_Analyze.md,§A10.3–A10.6,
analysis,§10.7,"Report Generation",PRD_3_Analyze.md,§A10.7,
analysis,§10.8–10.9,"Spec Export, Analysis Package",PRD_3_Analyze.md,§A10.8–A10.9,
analysis,§10.10–10.12,"Full Result Object, Diagnostic Summary, Methods Files",PRD_3_Analyze.md,§A10.10–A10.12,
analysis,§11,"Versioning and Deferral Log",PRD_3_Analyze.md,§A11,
analysis,§11.1,"Version 1 Scope",PRD_3_Analyze.md,§A11.1,
analysis,§11.2,"Deferred Features",PRD_3_Analyze.md,§A11.2,
analysis,§11.3,"Out of Scope Permanently",PRD_3_Analyze.md,§A11.3,
analysis,§12,"Implementation Architecture",PRD_3_Analyze.md,§A12,
analysis,§12.1,"File Structure",PRD_3_Analyze.md,§A12.1,
analysis,§12.2,"Module ↔ Service File Mapping",PRD_3_Analyze.md,§A12.2,
analysis,§12.3,"Coding Conventions",PRD_3_Analyze.md,§A12.3,
analysis,§12.4,"Phased Build Plan",PRD_3_Analyze.md,§A12.4,
analysis,§13,"Session Save and Load",PRD_0_Master.md,§M8,"moved: spans Prepare and Analyze"
analysis,§13.1,"Purpose",PRD_0_Master.md,§M8.1,
analysis,§13.2,"What a Session Contains",PRD_0_Master.md,§M8.2,
analysis,§13.3,"File Format",PRD_0_Master.md,§M8.3,
analysis,§13.4,"Dataset Definition",PRD_0_Master.md,§M8.4,
analysis,§13.5,"Schema Versioning",PRD_0_Master.md,§M8.5,
analysis,§13.6,"Partial Loads",PRD_0_Master.md,§M8.6,
analysis,§13.7,"Load Sequence",PRD_0_Master.md,§M8.7,
analysis,§13.8,"Entry Points",PRD_0_Master.md,§M8.8,
analysis,§13.9,"Autosave",PRD_0_Master.md,§M8.9,
analysis,§13.10,"Architecture Notes",PRD_0_Master.md,§M8.10,
v02,§1,"Overview",PRD_0_Master.md,§M1,
v02,§1.1,"Purpose",PRD_0_Master.md,§M1.1,
v02,§1.2,"Target Users",PRD_0_Master.md,§M1.2,
v02,§1.3,"Design Principles",PRD_0_Master.md,§M2,
v02,§2.1,"Application Entry Point",PRD_0_Master.md,§M4.3,
v02,§2.2,"Prepare Stage",PRD_1_Prepare.md,§P4–P7,"column mgmt §P4, transforms §P5, filters §P6, apply §P7"
v02,§2.3,"Explore Stage: Single Variable",PRD_2_Explore.md,§E3,"trend part -> §E5"
v02,§2.4,"Explore Stage: Bivariate",PRD_2_Explore.md,§E4,
v02,§2.5,"Programmatic Report API",PRD_2_Explore.md,§E15,
v02,§2.6,"Summary Statistics",PRD_2_Explore.md,§E6.1,"SS-01 dataset overview -> §P8; SS-03 Table One -> §E11.2 / §A (Table 1)"
v02,§2.7,"Dataset Export",PRD_1_Prepare.md,§P9,
v02,§3,"Non-Functional Requirements",PRD_0_Master.md,§M9.4,
v02,§4.1,"R Packages",PRD_0_Master.md,§M9.1,
v02,§4.2,"Column Auto-Cast Rules",PRD_1_Prepare.md,§P2.2,
v02,§4.3,"Plot Type Routing",PRD_2_Explore.md,§E4,"stratification table -> §E8.4"
v02,§4.4,"Module Architecture",PRD_0_Master.md,§M5,
v02,§4.5,"Data Flow",PRD_0_Master.md,§M6,"pipeline order specifically -> §P7.2"
v02,§4.6,"File Structure",PRD_0_Master.md,§M9.2,"per-file map -> CLAUDE.md"
v02,§5.1,"Layout",PRD_0_Master.md,§M4.1,
v02,§5.2,"Stage 1: Prepare",PRD_1_Prepare.md,§P3,
v02,§5.3,"Stage 2: Explore — Sidebar",PRD_2_Explore.md,§E2,
v02,§5.4,"Stage 2: Explore — Main Panel",PRD_2_Explore.md,§E6,
v02,§5.5,"Loading Indicators",PRD_0_Master.md,§M3.5,
v02,§6,"Visualization Specification",PRD_2_Explore.md,§E8,
v02,§6.1,"Architecture",PRD_0_Master.md,§M2.2,"one static ggplot engine"
v02,§6.2,"Plot Themes",PRD_2_Explore.md,§E7,
v02,§6.3,"Color Palettes",PRD_2_Explore.md,§E7,
v02,§6.4,"Plot-Specific Behaviors",PRD_2_Explore.md,§E8.1,
v02,§7,"Report Generation Specification",PRD_2_Explore.md,§E13,
v02,§7.5,"PDF",PRD_0_Master.md,§M10.1,"PDF is out of scope"
v02,§8,"Out of Scope for v2",PRD_0_Master.md,§M10.1,
